GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swift-codec,com.facebook.swift.codec.internal.compiler,ThriftCodecByteCodeGenerator.ConstructorParameters,0,58,0,0,0,11,0,6,0,6
swift-codec,com.facebook.swift.codec.internal.compiler,CompilerThriftCodecFactory.new PrivilegedAction() {...},0,7,0,0,0,2,0,2,0,2
swift-codec,com.facebook.swift.codec.internal.compiler,ThriftCodecByteCodeGenerator.ConstructorParameters.new Function() {...},0,9,0,0,0,2,0,2,0,2
swift-codec,com.facebook.swift.codec.internal.compiler,ThriftCodecByteCodeGenerator.ConstructorParameters.new Function() {...},0,12,0,0,0,2,0,2,0,2
swift-codec,com.facebook.swift.codec.internal.compiler,CompilerThriftCodecFactory,0,37,0,0,0,11,0,5,0,5
swift-codec,com.facebook.swift.codec.internal.compiler,ThriftCodecByteCodeGenerator,65,1964,5,88,9,260,5,69,0,26
swift-codec,com.facebook.swift.codec.internal.compiler,ThriftCodecByteCodeGenerator.new Object() {...},12,77,0,0,0,1,0,1,0,1
swift-codec,com.facebook.swift.codec.internal.compiler,DynamicClassLoader,9,23,3,1,4,8,2,4,0,4
swift-codec,com.facebook.swift.codec.internal,TProtocolReader,140,341,25,29,40,84,35,27,12,23
swift-codec,com.facebook.swift.codec.internal,TProtocolWriter,57,396,15,17,31,94,21,23,8,20
swift-codec,com.facebook.swift.codec.internal,EnumThriftCodec,20,72,3,7,2,20,3,6,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,ShortThriftCodec,0,26,0,0,0,8,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,DoubleThriftCodec,0,26,0,0,0,8,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,MapThriftCodec,0,60,0,0,0,15,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,SetThriftCodec,0,49,0,0,0,13,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,IntegerThriftCodec,0,26,0,0,0,8,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,BooleanThriftCodec,0,26,0,0,0,8,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,ListThriftCodec,0,49,0,0,0,13,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,LongThriftCodec,0,26,0,0,0,8,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,VoidThriftCodec,11,5,0,0,4,2,2,2,2,2
swift-codec,com.facebook.swift.codec.internal.builtin,ByteThriftCodec,0,26,0,0,0,8,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.builtin,ByteBufferThriftCodec,0,24,0,0,0,8,0,4,0,4
swift-codec,com.facebook.swift.codec.internal.compiler.byteCode,FieldDefinition,38,38,0,0,7,9,1,5,1,5
swift-codec,com.facebook.swift.codec.internal.compiler.byteCode,MethodDefinition,230,945,12,31,42,177,27,66,15,52
