GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swift-generator,com.facebook.swift.generator,TypeToJavaConverter.ListConverter,37,0,2,0,5,0,4,0,3,0
swift-generator,com.facebook.swift.generator,TypeToJavaConverter.VoidConverter,17,0,4,0,3,0,5,0,3,0
swift-generator,com.facebook.swift.generator,SwiftGeneratorConfig.Builder,144,0,10,0,34,0,16,0,11,0
swift-generator,com.facebook.swift.generator,SwiftGeneratorConfig,58,0,0,0,19,0,10,0,10,0
swift-generator,com.facebook.swift.generator,TypeToJavaConverter.BaseConverter,118,0,4,0,25,0,6,0,4,0
swift-generator,com.facebook.swift.generator,TypeToJavaConverter.MapConverter,46,0,2,0,6,0,4,0,3,0
swift-generator,com.facebook.swift.generator,TypeToJavaConverter.SetConverter,37,0,2,0,5,0,4,0,3,0
swift-generator,com.facebook.swift.generator,SwiftDocumentContext,57,0,0,0,14,0,7,0,7,0
swift-generator,com.facebook.swift.generator,SwiftGenerator,425,0,42,0,59,0,27,0,6,0
swift-generator,com.facebook.swift.generator,SwiftJavaType,180,0,30,0,39,0,23,0,8,0
swift-generator,com.facebook.swift.generator,TypeToJavaConverter,104,0,4,0,22,0,5,0,3,0
swift-generator,com.facebook.swift.generator,TypedefRegistry,75,0,6,0,14,0,9,0,6,0
swift-generator,com.facebook.swift.generator,TypeRegistry,86,0,6,0,16,0,9,0,6,0
swift-generator,com.facebook.swift.generator,SwiftGeneratorTweak,48,0,0,0,4,0,4,0,4,0
swift-generator,com.facebook.swift.generator,TypeToJavaConverter.IdentifierConverter,97,0,12,0,16,0,9,0,3,0
swift-generator,com.facebook.swift.generator.visitors,StructVisitor,48,0,4,0,10,0,5,0,3,0
swift-generator,com.facebook.swift.generator.visitors,ExceptionVisitor,48,0,4,0,10,0,5,0,3,0
swift-generator,com.facebook.swift.generator.visitors,ServiceVisitor,98,0,10,0,20,0,9,0,4,0
swift-generator,com.facebook.swift.generator.visitors,AbstractTemplateVisitor,160,0,12,0,24,0,8,0,2,0
swift-generator,com.facebook.swift.generator.visitors,StringEnumVisitor,48,0,4,0,10,0,5,0,3,0
swift-generator,com.facebook.swift.generator.visitors,TypeVisitor,89,0,2,0,17,0,5,0,4,0
swift-generator,com.facebook.swift.generator.visitors,IntegerEnumVisitor,48,0,4,0,10,0,5,0,3,0
swift-generator,com.facebook.swift.generator.util,SwiftInternalStringUtils,13,0,2,0,3,0,3,0,2,0
swift-generator,com.facebook.swift.generator.util,TemplateLoader.LoaderErrorListener,22,0,0,0,5,0,3,0,3,0
swift-generator,com.facebook.swift.generator.util,TemplateLoader,60,0,2,0,13,0,5,0,4,0
swift-generator,com.facebook.swift.generator.template,StructContext,203,0,38,0,48,0,28,0,9,0
swift-generator,com.facebook.swift.generator.template,TemplateContextGenerator,390,0,24,0,62,0,29,0,17,0
swift-generator,com.facebook.swift.generator.template,ServiceContext,243,0,46,0,56,0,33,0,10,0
swift-generator,com.facebook.swift.generator.template,EnumFieldContext,117,0,22,0,30,0,17,0,6,0
swift-generator,com.facebook.swift.generator.template,EnumContext,163,0,30,0,40,0,23,0,8,0
swift-generator,com.facebook.swift.generator.template,ExceptionContext,123,0,22,0,31,0,18,0,7,0
swift-generator,com.facebook.swift.generator.template,MethodContext.new Predicate() {...},13,0,2,0,2,0,3,0,2,0
swift-generator,com.facebook.swift.generator.template,MethodContext,286,0,50,0,64,0,38,0,13,0
swift-generator,com.facebook.swift.generator.template,FieldContext,262,0,48,0,59,0,34,0,10,0
