GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swift-idl-parser,com.facebook.swift.parser.model,ThriftType,0,3,0,0,0,1,0,1,0,1
swift-idl-parser,com.facebook.swift.parser.model,ThriftField.Required,9,39,0,0,0,2,2,2,2,2
swift-idl-parser,com.facebook.swift.parser.model,ThriftMethod,22,67,0,0,8,9,7,2,7,2
swift-idl-parser,com.facebook.swift.parser.model,MapType,6,37,0,0,2,5,2,2,2,2
swift-idl-parser,com.facebook.swift.parser.model,ConstValue,0,3,0,0,0,1,0,1,0,1
swift-idl-parser,com.facebook.swift.parser.model,IntegerEnum,6,28,0,0,2,5,2,2,2,2
swift-idl-parser,com.facebook.swift.parser.model,BaseType,6,28,0,0,2,5,2,2,2,2
swift-idl-parser,com.facebook.swift.parser.model,ConstList,11,10,0,0,2,3,2,1,2,1
swift-idl-parser,com.facebook.swift.parser.model,AbstractStruct,21,39,0,0,7,6,4,2,4,2
swift-idl-parser,com.facebook.swift.parser.model,TypeAnnotation,22,15,0,0,5,4,4,1,4,1
swift-idl-parser,com.facebook.swift.parser.model,Union,0,6,0,0,0,2,0,1,0,1
swift-idl-parser,com.facebook.swift.parser.model,ConstIdentifier,11,9,0,0,2,3,2,1,2,1
swift-idl-parser,com.facebook.swift.parser.model,Header,15,40,0,0,4,6,4,2,4,2
swift-idl-parser,com.facebook.swift.parser.model,SetType,19,11,0,0,2,3,2,1,2,1
swift-idl-parser,com.facebook.swift.parser.model,ConstString,3,17,0,0,1,4,1,2,1,2
swift-idl-parser,com.facebook.swift.parser.model,Const,25,21,0,0,4,5,4,1,4,1
swift-idl-parser,com.facebook.swift.parser.model,ListType,3,27,0,0,1,4,1,2,1,2
swift-idl-parser,com.facebook.swift.parser.model,StringEnum,18,16,0,0,3,4,3,1,3,1
swift-idl-parser,com.facebook.swift.parser.model,Service,17,36,0,0,6,6,4,2,4,2
swift-idl-parser,com.facebook.swift.parser.model,Document,30,49,4,0,8,11,5,3,3,3
swift-idl-parser,com.facebook.swift.parser.model,IdentifierType,3,17,0,0,1,4,1,2,1,2
swift-idl-parser,com.facebook.swift.parser.model,ThriftField,22,63,0,0,8,9,7,2,7,2
swift-idl-parser,com.facebook.swift.parser.model,ConstMap,11,10,0,0,2,3,2,1,2,1
swift-idl-parser,com.facebook.swift.parser.model,Definition,4,3,0,0,2,1,1,1,1,1
swift-idl-parser,com.facebook.swift.parser.model,ContainerType,6,14,0,0,2,4,2,1,2,1
swift-idl-parser,com.facebook.swift.parser.model,Struct,0,6,0,0,0,2,0,1,0,1
swift-idl-parser,com.facebook.swift.parser.model,IntegerEnumField,6,25,0,0,2,5,2,2,2,2
swift-idl-parser,com.facebook.swift.parser.model,BaseType.Type,9,89,0,0,0,2,2,2,2,2
swift-idl-parser,com.facebook.swift.parser.model,VoidType,0,7,0,0,0,2,0,2,0,2
swift-idl-parser,com.facebook.swift.parser.model,ConstDouble,12,6,0,0,2,3,2,1,2,1
swift-idl-parser,com.facebook.swift.parser.model,ConstInteger,4,14,0,0,1,4,1,2,1,2
swift-idl-parser,com.facebook.swift.parser.model,ThriftException,0,6,0,0,0,2,0,1,0,1
swift-idl-parser,com.facebook.swift.parser.model,Typedef,6,27,0,0,2,5,2,2,2,2
swift-idl-parser,com.facebook.swift.parser.antlr,ThriftLexer,657,2562,98,193,184,597,95,143,11,50
swift-idl-parser,com.facebook.swift.parser.antlr,DocumentGenerator.document_return,3,3,0,0,1,1,1,1,1,1
swift-idl-parser,com.facebook.swift.parser.antlr,DocumentGenerator.union_return,0,6,0,0,0,2,0,2,0,2
swift-idl-parser,com.facebook.swift.parser.antlr,ThriftParser,1867,9198,95,287,366,1860,98,164,7,39
