GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swift-service,com.facebook.swift.service,ThriftMethodStats,0,68,0,0,0,21,0,11,0,11
swift-service,com.facebook.swift.service,ThriftMethodHandler.ParameterHandler,0,21,0,0,0,8,0,4,0,4
swift-service,com.facebook.swift.service,ThriftServiceProcessor,55,123,3,7,9,31,4,6,1,4
swift-service,com.facebook.swift.service,ThriftServer.State,9,39,0,0,0,4,2,2,2,2
swift-service,com.facebook.swift.service,ThriftClientManager,69,155,3,1,17,25,6,10,4,10
swift-service,com.facebook.swift.service,ThriftClient,46,75,2,0,11,17,9,4,8,4
swift-service,com.facebook.swift.service,ThriftClientManager.TypeAndName,39,64,5,5,10,17,6,5,1,5
swift-service,com.facebook.swift.service,RuntimeTApplicationException,5,0,0,0,2,0,1,0,1,0
swift-service,com.facebook.swift.service,RuntimeTProtocolException,5,0,0,0,2,0,1,0,1,0
swift-service,com.facebook.swift.service,ThriftMethodHandler,133,343,11,23,22,83,12,14,1,8
swift-service,com.facebook.swift.service,ThriftClientManager.ThriftInvocationHandler,134,74,27,7,19,19,18,5,1,3
swift-service,com.facebook.swift.service,RuntimeTTransportException,5,0,0,0,2,0,1,0,1,0
swift-service,com.facebook.swift.service,ThriftMethodProcessor.ExceptionProcessor,0,15,0,0,0,6,0,3,0,3
swift-service,com.facebook.swift.service,ThriftClientManager.new FutureCallback() {...},10,63,3,3,2,8,4,2,1,2
swift-service,com.facebook.swift.service,SyncClientHelpers,39,39,3,1,10,9,4,1,2,1
swift-service,com.facebook.swift.service,ThriftClientManager.new CacheLoader() {...},0,18,0,0,0,2,0,2,0,2
swift-service,com.facebook.swift.service,ThriftMethodProcessor,85,366,10,18,19,85,9,13,0,8
swift-service,com.facebook.swift.service,ThriftMethodHandler.new NiftyClientChannel.Listener() {...},68,0,0,0,16,0,5,0,5,0
swift-service,com.facebook.swift.service,SyncClientHelpers.new NiftyClientChannel.Listener() {...},9,22,0,0,3,5,1,3,1,3
swift-service,com.facebook.swift.service,ThriftServer,59,202,16,10,10,44,15,8,2,8
swift-service,com.facebook.swift.service,ThriftClientConfig,20,43,0,0,8,11,4,6,4,6
swift-service,com.facebook.swift.service,ThriftServerConfig,20,25,0,0,8,7,4,5,4,5
swift-service,com.facebook.swift.service,ThriftClientManager.ThriftClientMetadata,0,76,0,2,0,18,0,6,0,5
swift-service,com.facebook.swift.service,SyncClientHelpers.new NiftyClientChannel.Listener() {...},23,0,0,0,7,0,4,0,4,0
swift-service,com.facebook.swift.service,RuntimeTException,5,0,0,0,2,0,1,0,1,0
swift-service,com.facebook.swift.service.guice,ThriftServiceExporter,0,59,0,0,0,13,0,5,0,5
swift-service,com.facebook.swift.service.guice,ThriftServiceExporter.ThriftServiceExport,49,13,8,0,13,5,6,3,2,3
swift-service,com.facebook.swift.service.guice,ThriftClientBinder,0,189,0,2,0,32,0,7,0,6
swift-service,com.facebook.swift.service.guice,ThriftServerModule,0,66,0,2,0,14,0,5,0,4
swift-service,com.facebook.swift.service.guice,ThriftClientBinder.ThriftClientProvider,38,93,13,3,10,21,9,6,1,6
swift-service,com.facebook.swift.service.guice,ThriftServiceExporter.ThriftServiceProcessorProvider,0,44,0,2,0,11,0,3,0,2
swift-service,com.facebook.swift.service.guice,ThriftClientModule.new MapObjectNameFunction() {...},0,8,0,0,0,2,0,2,0,2
swift-service,com.facebook.swift.service.guice,ThriftClientManagerProvider,11,10,1,1,3,3,2,2,1,2
swift-service,com.facebook.swift.service.guice,ThriftClientBinder.new TypeParameter() {...},0,3,0,0,0,1,0,1,0,1
swift-service,com.facebook.swift.service.guice,ThriftClientBinder.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
swift-service,com.facebook.swift.service.guice,ThriftClientModule,4,84,0,4,2,14,0,5,0,3
swift-service,com.facebook.swift.service.guice,ThriftServerModule.new ObjectNameFunction() {...},4,29,0,0,2,4,0,2,0,2
swift-service,com.facebook.swift.service.metadata,ThriftMethodMetadata,32,288,10,24,7,58,9,18,1,9
swift-service,com.facebook.swift.service.metadata,ThriftServiceMetadata,42,105,5,7,8,20,6,6,2,4
